startValue,endValue,quantity
0,49,2
50,99,2
100,149,1
150,199,1
200,249,2
250,299,1
300,349,3
350,399,1
400,449,3
450,499,4
500,549,3
550,599,1
600,649,6
650,699,4
700,749,1
750,799,2
800,849,3
850,899,2
900,949,1
950,999,2
1000,1049,4
1050,1099,1
1100,1149,1
1150,1199,0
1200,1249,1
1250,1299,2
1300,1349,1
1350,1399,1
1400,1449,2
1450,1499,0
1500,1549,0
1550,1599,0
1600,1649,1
1650,1699,0
1700,1749,1
1750,1799,1
1800,1849,0
1850,1899,0
1900,1949,0
1950,1999,0
2000,2049,0
2050,2099,0
2100,2149,0
2150,2199,0
2200,2249,0
2250,2299,0
2300,2349,0
2350,2399,0
2400,2449,0
2450,2499,0
2500,2549,0
2550,2599,0
2600,2649,0
2650,2699,1
2700,2749,0
2750,2799,0
